fecha,subtype,equipo,jugador,equipoLiga,Diff
,mercado,Libre,Aurélien Tchouaméni,15.0,0.6340900000000005
,mercado,Dani,David Affengruber,23.0,1.7123100000000004
,mercado,Chamacónicos,Iván Balliu,14.0,-0.13494999999999996
,mercado,Jotabetrbb,Léo Pétrot,23.0,-0.0826
,mercado,Maldinillo 💥,Pedro Bigas,23.0,0.3268999999999993
,clausula,Maldinillo 💥,Clemens Riedel,8.0,0.47204999999999997
,mercado,Libre,Matías Dituro,23.0,-1.0171999999999999
,mercado,Maldinillo 💥,César Tárrega,19.0,0.18766999999999978
,mercado,Dani,Abel Ruiz,222.0,-0.010030000000000011
,mercado,Maldinillo 💥,Sergi Darder,408.0,0.41352999999999973
,mercado,Dani,Pablo Martínez,12.0,-0.051289999999999836
,mercado,Los marinero,Javi Guerra,19.0,-0.43123999999999985
,mercado,Los marinero,Diego Rico,9.0,-0.4501200000000001
,mercado,Dani,Beñat Prados,1.0,-0.061829999999999996
,clausula,Dani,Abel Bretones,50.0,1.9149
,mercado,Maldinillo 💥,Flavien Boyomo,50.0,0.46592000000000056
,mercado,Libre,Andrés Castrín,17.0,-0.2043400000000002
,mercado,Libre,Dani Parejo,20.0,-0.5376799999999999
,acuerdo,Dani,Abdel Abqar,9.0,0.20645000000000002
,mercado,MuchaSalsa,Luis Milla,9.0,0.8099500000000006
,mercado,Maldinillo 💥,Marcos Alonso,5.0,-0.11707000000000001
,mercado,Maldinillo 💥,Isaac Romero,17.0,-0.0033399999999996766
,clausula,Los marinero,Marc Roca,4.0,0.4475
,clausula,Jotabetrbb,Pablo Ibáñez,48.0,1.4135
,mercado,Chamacónicos,Lucas Boyé,48.0,0.0046999999999999265
,clausula,Maldinillo 💥,Abde Ezzalzouli,4.0,2.601636
,mercado,Maldinillo 💥,Dani Carvajal,15.0,-1.7368609999999993
,mercado,Dani,Denis Suárez,48.0,-0.040429999999999966
,mercado,Los marinero,Leandro Cabrera,8.0,-0.048769999999999314
,mercado,Maldinillo 💥,Mikel Vesga,1.0,0.09698000000000007
,mercado,Los marinero,Mariano Díaz,48.0,-1.0461600000000002
,mercado,Maldinillo 💥,Luka Ilic,1370.0,-0.07480999999999982
,mercado,Libre,Pichu Cuéllar,408.0,-0.003160000000000024
,mercado,Libre,Kike Salas,17.0,-0.32564999999999955
,clausula,Maldinillo 💥,Rafa Mir,23.0,2.7570550000000003
,mercado,Chamacónicos,Alejandro Catena,50.0,0.5293599999999996
,mercado,Jotabetrbb,Sergio Carreira,5.0,-0.04028799999999988
,clausula,Chamacónicos,Valentín Gómez,4.0,1.0
,mercado,Chamacónicos,Marko Dmitrović,8.0,0.22225000000000072
,clausula,Libre,Valentín Gómez,4.0,0.5559700000000001
,mercado,Maldinillo 💥,Hugo Duro,19.0,0.382200000000001
,clausula,Los marinero,Tanguy Nianzou,17.0,0.34299999999999986
,mercado,Maldinillo 💥,Carles Aleñá,48.0,0.11752999999999947
,mercado,Los marinero,Gorka Guruzeta,1.0,-0.09356000000000009
,mercado,Maldinillo 💥,José Copete,19.0,-0.04592000000000018
,clausula,Chamacónicos,Carlos Dominguez,5.0,0.5527500000000001
,acuerdo,Chamacónicos,Aitor Fernández,50.0,-0.13226000000000002
,clausula,Maldinillo 💥,Bryan Gil,222.0,1.1303400000000003
,mercado,Maldinillo 💥,Javi Puado,8.0,-0.11036999999999964
,mercado,Los marinero,Beñat Prados,1.0,-0.11599999999999999
